序號,縣市,監測月份,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","懸浮微粒 PM 10 (μg/m 3 )","細懸浮微粒 PM 2.5 (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppm)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","苯 BENZENE (ppb)","甲苯 TOLUENE (ppb)","乙苯 ETHYLBENZENE (ppb)","間、對二甲苯 M_P_XYLENES (ppb)","鄰二甲苯 O_XYLENE (ppb)","風速 WIND_SPEED (m/sec)","小時風速值 WS_HR (m/sec)","溫度 AMB_TEMP (℃)","降雨強度 RAIN_INT (㎜)","降雨量 RAINFALL (mm)","酸雨 PH_RAIN (pH)","相對濕度 RH (percent)","導電度 RAIN_COND (μmho/cm)","紫外線指數 UVB (UVI)"
11,新北市,2016/03,三重,3.3,1.83,-,-,65,24,126.98,82.07,44.91,2.83,0.69,2.14,2.23,10.38,0.99,3.64,1.66,-,-,17.95,-,212.8,-,75.65,-,-
12,新北市,2016/03,永和,2.5,1.07,-,25.8,40,22,50.79,22.57,28.23,2.4,0.39,2.01,-,-,-,-,-,1.56,1.35,17.45,-,291.6,-,74.28,-,-
13,新北市,2016/03,新莊,3.4,1.02,-,25.9,48,27,43.76,14.48,29.28,-,-,-,-,-,-,-,-,2.29,1.98,17.64,-,258,-,74.91,-,-
14,新北市,2016/03,淡水,2.4,0.5,-,29.9,48,26,24.22,6.07,18.15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.6
15,新北市,2016/03,汐止,3,0.59,-,28,40,22,37.13,13.69,23.44,-,-,-,-,-,-,-,-,1.5,1.2,17.12,-,291.2,-,80.24,-,-
16,新北市,2016/03,土城,3.1,0.73,-,28,48,25,38.19,12.06,26.13,2.27,0.33,1.95,0.69,9.05,0.47,1.87,0.76,1.3,0.58,17.94,-,323.4,-,75.65,-,-
17,新北市,2016/03,林口,2.5,0.41,-,36.9,46,23,24.04,5.55,18.48,-,-,-,-,-,-,-,-,2.81,2.45,15.92,-,235.4,-,85.68,-,-
18,新北市,2016/03,新店,2.1,0.58,-,26.3,39,23,27.39,6.71,20.67,-,-,-,-,-,-,-,-,3.2,2.36,17.33,-,286,-,76.24,-,-
19,臺中市,2016/03,沙鹿,2.5,0.45,-,32.3,58,32,22.74,3.23,19.5,-,-,-,-,-,-,-,-,3.41,1.33,17.36,-,175.8,-,80.65,-,5.2
20,臺中市,2016/03,大里,2.9,0.69,439.3,23.8,59,29,34.46,7.83,26.63,2.27,0.33,1.94,-,-,-,-,-,1.6,0.91,19.53,-,198.4,-,72.73,-,-
21,臺中市,2016/03,西屯,2.7,0.47,-,30.6,56,34,28.64,6.91,21.73,2.07,0.27,1.8,-,-,-,-,-,2.57,1.36,18.3,2.11,207,4.93,77,28.15,-
22,臺中市,2016/03,豐原,2.4,0.46,-,32.3,33,26,17.19,2.8,14.39,2.08,0.18,1.9,-,-,-,-,-,1.99,1.42,17.28,-,303,-,73.96,-,-
23,臺中市,2016/03,忠明,2.4,0.63,-,25.3,53,31,35.47,9.38,26.09,2.14,0.26,1.88,-,-,-,-,-,1.79,1.02,18.9,-,179.8,-,72.94,-,-
24,臺南市,2016/03,新營,3,0.47,-,28.2,73,39,22.3,3.23,19.06,2.25,0.14,2.11,-,-,-,-,-,2.07,1.15,19.38,2.3,129.6,5.01,77.93,33.14,5.1
